                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.31136,                0.99497,                      1,                0.32664,             0.00023562,             0.00023562,             0.00023562
                      2,                 0.0285,                      1,                      1,                0.31556,             0.00046424,             0.00046424,             0.00046424
                      3,                0.00858,                      1,                      1,                0.31466,             0.00068344,             0.00068344,             0.00068344
                      4,                0.01724,                0.99497,                      1,                0.31956,             0.00067159,             0.00067159,             0.00067159
                      5,                0.00787,                0.99497,                      1,                0.31706,             0.00065745,             0.00065745,             0.00065745
                      6,                0.00281,                      1,                      1,                0.31443,             0.00064331,             0.00064331,             0.00064331
                      7,                0.00372,                0.99749,                      1,                0.31612,             0.00062918,             0.00062918,             0.00062918
                      8,                0.00211,                      1,                      1,                0.31462,             0.00061504,             0.00061504,             0.00061504
                      9,                0.00567,                0.99497,                      1,                0.31999,              0.0006009,              0.0006009,              0.0006009
                     10,                0.00434,                0.99749,                      1,                0.31607,             0.00058677,             0.00058677,             0.00058677
                     11,                0.00269,                      1,                      1,                0.31336,             0.00057263,             0.00057263,             0.00057263
                     12,                  0.001,                      1,                      1,                0.31342,             0.00055849,             0.00055849,             0.00055849
                     13,                0.00187,                      1,                      1,                0.31323,             0.00054435,             0.00054435,             0.00054435
                     14,                 0.0012,                      1,                      1,                 0.3153,             0.00053022,             0.00053022,             0.00053022
                     15,                0.00125,                0.99749,                      1,                0.31494,             0.00051608,             0.00051608,             0.00051608
                     16,                0.00105,                      1,                      1,                0.31387,             0.00050194,             0.00050194,             0.00050194
                     17,                0.01769,                0.99749,                      1,                0.31594,              0.0004878,              0.0004878,              0.0004878
                     18,                0.00128,                      1,                      1,                0.31526,             0.00047367,             0.00047367,             0.00047367
                     19,                0.00116,                0.99749,                      1,                0.31539,             0.00045953,             0.00045953,             0.00045953
                     20,                0.01436,                0.99749,                      1,                0.31766,             0.00044539,             0.00044539,             0.00044539
                     21,                0.00046,                0.99749,                      1,                0.31624,             0.00043126,             0.00043126,             0.00043126
                     22,                0.00026,                0.99749,                      1,                0.31498,             0.00041712,             0.00041712,             0.00041712
                     23,                0.00057,                      1,                      1,                0.31366,             0.00040298,             0.00040298,             0.00040298
                     24,                0.00038,                      1,                      1,                0.31372,             0.00038884,             0.00038884,             0.00038884
                     25,                0.00039,                      1,                      1,                0.31342,             0.00037471,             0.00037471,             0.00037471
                     26,                0.00046,                      1,                      1,                0.31342,             0.00036057,             0.00036057,             0.00036057
                     27,                0.00034,                      1,                      1,                0.31342,             0.00034643,             0.00034643,             0.00034643
                     28,                  8e-05,                      1,                      1,                0.31378,              0.0003323,              0.0003323,              0.0003323
                     29,                 0.0001,                      1,                      1,                0.31336,             0.00031816,             0.00031816,             0.00031816
                     30,                  9e-05,                      1,                      1,                0.31336,             0.00030402,             0.00030402,             0.00030402
                     31,                0.00014,                      1,                      1,                0.31342,             0.00028988,             0.00028988,             0.00028988
                     32,                0.00012,                      1,                      1,                0.31338,             0.00027575,             0.00027575,             0.00027575
                     33,                  4e-05,                      1,                      1,                0.31335,             0.00026161,             0.00026161,             0.00026161
                     34,                  3e-05,                      1,                      1,                0.31329,             0.00024747,             0.00024747,             0.00024747
                     35,                  5e-05,                      1,                      1,                0.31333,             0.00023334,             0.00023334,             0.00023334
                     36,                0.00029,                      1,                      1,                0.31327,              0.0002192,              0.0002192,              0.0002192
                     37,                  4e-05,                      1,                      1,                0.31336,             0.00020506,             0.00020506,             0.00020506
                     38,                0.00021,                      1,                      1,                0.31342,             0.00019092,             0.00019092,             0.00019092
                     39,                  2e-05,                      1,                      1,                0.31336,             0.00017679,             0.00017679,             0.00017679
                     40,                 0.0001,                      1,                      1,                0.31333,             0.00016265,             0.00016265,             0.00016265
                     41,                  4e-05,                      1,                      1,                0.31385,             0.00014851,             0.00014851,             0.00014851
                     42,                0.00037,                      1,                      1,                0.31327,             0.00013437,             0.00013437,             0.00013437
                     43,                 0.0018,                      1,                      1,                0.31331,             0.00012024,             0.00012024,             0.00012024
                     44,                  6e-05,                      1,                      1,                0.31361,              0.0001061,              0.0001061,              0.0001061
                     45,                  8e-05,                      1,                      1,                 0.3138,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                  5e-05,                      1,                      1,                0.31346,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                 0.0001,                      1,                      1,                0.31342,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.00053,                      1,                      1,                0.31346,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.01041,                      1,                      1,                0.31344,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                 0.0086,                      1,                      1,                0.31344,             2.1277e-05,             2.1277e-05,             2.1277e-05
